ride_id,driver_name,passenger_name,pickup_city,dropoff_city,fare_amount,ride_distance_km,ride_status,requested_at,completed_at,rating,payment_method
5034,Ramesh Shrestha,Prem Basnet,Kathmandu,Butwal,282.30,14.60,completed,2026-08-16 05:59:03,2026-08-16 06:18:49.000000,,khalti
5035,Deepak Thapa,Sabina Dahal,Butwal,Kathmandu,755.27,39.50,completed,2026-08-16 11:55:26,2026-08-16 12:34:44.000000,4.3,cash
5036,Kabita Lama,Laxmi Shrestha,Pokhara,Biratnagar,292.38,25.09,completed,2026-08-16 11:55:34,2026-08-16 12:22:42.000000,2.6,khalti
5037,Nisha Bista,Ashok Neupane,Biratnagar,Bhaktapur,828.72,37.94,completed,2026-08-16 19:10:43,2026-08-16 19:50:46.000000,,esewa
5038,Kabita Lama,Suman Giri,Butwal,Lalitpur,463.08,39.73,completed,2026-08-16 22:33:19,2026-08-16 23:59:39.000000,,khalti
5039,Rajan Pandey,Prem Basnet,Chitwan,Pokhara,80.00,2.38,completed,2026-08-16 20:01:56,2026-08-16 20:10:41.000000,3.8,card
5040,Rajan Pandey,Suman Giri,Kirtipur,Kathmandu,370.82,24.45,completed,2026-08-16 15:31:54,2026-08-16 16:27:51.000000,3.6,esewa
5041,Sita Tamang,Niraj Acharya,Hetauda,Birgunj,281.64,34.07,completed,2026-08-16 10:04:13,2026-08-16 11:08:18.000000,,khalti
5042,Priya Gurung,Bina Ghimire,Birgunj,Biratnagar,376.08,20.06,cancelled,2026-08-16 03:07:17,,,
5043,Ramesh Shrestha,Sanjay Maharjan,Butwal,Pokhara,297.45,42.30,cancelled,2026-08-16 17:47:50,,,
